Time	Channel A	Channel B
(us)	(V)	(mV)

43.29999761	0.00000000	-12.11860000
43.49999759	-0.17531990	-15.48351000
43.69999758	0.00000000	-18.03026000
43.89999757	0.00000000	-18.84842000
44.09999756	0.00000000	-18.07948000
44.29999755	0.00000000	-16.09252000
44.49999753	0.00000000	-14.81914000
44.69999752	0.00000000	-14.76378000
44.89999751	0.00000000	-14.72072000
45.09999750	0.00000000	-15.21900000
45.29999749	0.00000000	-15.94488000
45.49999748	0.00000000	-16.39395000
45.69999746	0.00000000	-15.89567000
45.89999745	0.00000000	-14.66535000
46.09999744	0.00000000	-12.53076000
46.29999743	0.00000000	-10.48843000
46.49999742	0.00000000	-9.21505800
46.69999740	0.00000000	-9.26427100
46.89999739	0.00000000	-10.94980000
47.09999738	0.00000000	-13.90256000
47.29999737	0.00000000	-17.26747000
47.49999736	0.00000000	-20.26944000
47.69999734	0.00000000	-22.31176000
47.89999733	0.00000000	-22.71777000
48.09999732	0.00000000	-20.63238000
48.29999731	0.00000000	-17.31668000
48.49999730	0.00000000	-13.90256000
48.69999729	0.00000000	-10.90059000
48.89999727	0.00000000	-8.75369100
49.09999726	0.00000000	-7.48646600
49.29999725	0.00000000	-7.53567900
49.49999724	0.00000000	-9.21505800
49.69999723	0.00000000	-12.11860000
49.89999721	0.00000000	-15.07136000
50.09999720	0.00000000	-17.26747000
50.29999719	0.00000000	-18.99606000
50.49999718	0.00000000	-20.26944000
50.69999717	0.00000000	-20.68159000
50.89999715	0.00000000	-20.17101000
51.09999714	0.00000000	-18.07948000
51.29999713	0.00000000	-14.76993000
51.49999712	0.00000000	-12.21703000
51.69999711	0.00000000	-10.43922000
51.89999710	0.00000000	-9.21505800
52.09999708	0.00000000	-9.16584600
52.29999707	0.00000000	-9.97785300
52.49999706	0.00000000	-10.90059000
52.69999705	0.00000000	-12.62918000
52.89999704	0.00000000	-15.12057000
53.09999702	0.00000000	-17.26747000
53.29999701	0.00000000	-18.99606000
53.49999700	-0.17531990	-20.26944000
53.69999699	0.00000000	-20.63238000
53.89999698	0.00000000	-19.76501000
54.09999696	0.00000000	-17.26747000
54.29999695	0.00000000	-14.36393000
54.49999694	0.00000000	-12.16781000
54.69999693	0.00000000	-10.48843000
54.89999692	0.00000000	-9.67642700
55.09999691	0.00000000	-10.53765000
55.29999689	0.00000000	-12.57997000
55.49999688	0.00000000	-15.16978000
55.69999687	0.00000000	-17.67962000
55.89999686	0.00000000	-19.81422000
56.09999685	0.00000000	-20.58317000
56.29999683	0.00000000	-19.81422000
56.49999682	0.00000000	-17.67962000
56.69999681	0.00000000	-15.16978000
56.89999680	0.00000000	-12.62918000
57.09999679	-0.17531990	-10.94980000
57.29999677	0.00000000	-10.48843000
57.49999676	0.00000000	-10.94980000
57.69999675	0.00000000	-12.67840000
57.89999674	0.00000000	-15.58194000
58.09999673	0.00000000	-18.53469000
58.29999672	0.00000000	-20.63238000
58.49999670	0.00000000	-21.44439000
58.69999669	0.00000000	-20.17101000
58.89999668	0.00000000	-17.26747000
59.09999667	-0.17531990	-13.85334000
59.29999666	0.00000000	-10.48843000
59.49999664	0.00000000	-7.99089500
59.69999663	0.00000000	-7.58489100
59.89999662	0.00000000	-9.21505800
60.09999661	0.00000000	-12.16781000
60.29999660	0.00000000	-15.58194000
60.49999658	0.00000000	-18.94685000
60.69999657	0.00000000	-21.44439000
60.89999656	0.00000000	-21.89960000
61.09999655	0.00000000	-20.68159000
61.29999654	0.00000000	-18.48548000
61.49999653	0.00000000	-15.12057000
61.69999651	0.00000000	-11.35581000
61.89999650	0.00000000	-8.85211600
62.09999649	0.00000000	-7.94168200
62.29999648	-0.17531990	-8.80290300
62.49999647	0.00000000	-10.85138000
62.69999645	0.00000000	-13.44119000
62.89999644	0.00000000	-15.94488000
63.09999643	0.00000000	-18.12869000
63.29999642	0.00000000	-19.35900000
63.49999641	0.00000000	-19.80807000
63.69999639	0.00000000	-18.94685000
63.89999638	0.00000000	-17.36589000
64.09999637	0.00000000	-15.99409000
64.29999636	0.00000000	-14.71457000
64.49999635	0.00000000	-12.98597000
64.69999634	0.00000000	-11.70645000
64.89999632	0.00000000	-10.39001000
65.09999631	0.00000000	-9.21505800
65.29999630	0.00000000	-9.21505800
65.49999629	0.00000000	-10.48843000
65.69999628	0.00000000	-12.57997000
65.89999626	0.00000000	-15.12057000
66.09999625	0.00000000	-17.31668000
66.29999624	0.00000000	-19.45743000
66.49999623	0.00000000	-21.54281000
66.69999622	0.00000000	-22.31176000
66.89999620	0.00000000	-21.44439000
67.09999619	0.00000000	-18.48548000
67.29999618	0.00000000	-14.26550000
67.49999617	0.00000000	-10.07628000
67.69999616	0.00000000	-6.66830600
67.89999615	0.00000000	-5.43799200
68.09999613	0.00000000	-6.20693900
68.29999612	0.00000000	-8.75369100
68.49999611	0.00000000	-12.11860000
68.69999610	0.00000000	-15.68036000
68.89999609	0.00000000	-19.86343000
69.09999607	0.00000000	-23.98499000
69.29999606	0.00000000	-25.21530000
69.49999605	0.00000000	-23.63435000
69.69999604	0.00000000	-20.22022000
69.89999603	0.00000000	-15.58194000
70.09999601	0.00000000	-10.90059000
70.29999600	0.00000000	-7.12352300
70.49999599	0.00000000	-4.93971400
70.69999598	0.00000000	-4.92741100
70.89999597	0.00000000	-6.20693900
71.09999596	0.00000000	-9.21505800
71.29999594	0.00000000	-13.39198000
71.49999593	0.00000000	-17.21826000
71.69999592	0.00000000	-20.22022000
71.89999591	0.00000000	-21.89960000
72.09999590	0.00000000	-21.94882000
72.29999588	-0.17531990	-20.63238000
72.49999587	0.00000000	-18.07948000
72.69999586	0.00000000	-14.26550000
72.89999585	0.00000000	-10.53765000
73.09999584	0.00000000	-7.99089500
73.29999582	0.00000000	-7.53567900
73.49999581	0.00000000	-8.75369100
73.69999580	0.00000000	-10.90059000
73.89999579	0.00000000	-13.90256000
74.09999578	0.00000000	-17.26747000
74.29999577	0.00000000	-20.22022000
74.49999575	0.00000000	-21.89960000
74.69999574	0.00000000	-21.89960000
74.89999573	0.00000000	-20.17101000
75.09999572	0.00000000	-16.80610000
75.29999571	0.00000000	-12.57997000
75.49999569	0.00000000	-8.85211600
75.69999568	0.00000000	-6.71751900
75.89999567	0.00000000	-7.12352300
76.09999566	0.00000000	-9.16584600
76.29999565	0.00000000	-12.21703000
76.49999563	0.00000000	-15.99409000
76.69999562	0.00000000	-19.80807000
76.89999561	0.00000000	-22.26255000
77.09999560	0.00000000	-22.71777000
77.29999559	0.00000000	-20.58317000
77.49999558	0.00000000	-16.85531000
77.69999556	0.00000000	-12.53076000
77.89999555	0.00000000	-8.34153500
78.09999554	0.00000000	-4.93971400
78.29999553	0.00000000	-3.75861200
78.49999552	0.00000000	-4.98892600
78.69999550	0.00000000	-8.85211600
78.89999549	0.00000000	-14.26550000
79.09999548	0.00000000	-19.81422000
79.29999547	0.00000000	-23.99729000
79.49999546	0.00000000	-26.18110000
79.69999544	0.00000000	-25.67667000
79.89999543	0.00000000	-22.71777000
80.09999542	0.00000000	-17.21826000
80.29999541	0.00000000	-10.94980000
80.49999540	0.00000000	-5.80093500
80.69999539	0.00000000	-2.38681100
80.89999537	0.00000000	-1.16264800
81.09999536	0.00000000	-2.89739200
81.29999535	0.00000000	-7.48646600
81.49999534	0.00000000	-13.39198000
81.69999533	0.00000000	-18.99606000
81.89999531	0.00000000	-24.09572000
82.09999530	0.00000000	-27.81127000
82.29999529	0.00000000	-28.27264000
82.49999528	0.00000000	-25.72589000
82.69999527	0.00000000	-21.03223000
82.89999525	0.00000000	-14.31471000
83.09999524	0.00000000	-7.99089500
83.29999523	0.00000000	-3.66018700
83.49999522	0.00000000	-1.11343500
83.69999521	0.00000000	-1.16264800
83.89999520	0.00000000	-4.07234200
84.09999518	0.00000000	-8.70447700
84.29999517	0.00000000	-13.85334000
84.49999516	0.00000000	-18.99606000
84.69999515	0.00000000	-23.63435000
84.89999514	0.00000000	-26.54404000
85.09999512	-0.17531990	-26.59326000
85.29999511	0.00000000	-24.04650000
85.49999510	0.00000000	-19.81422000
85.69999509	0.00000000	-14.26550000
85.89999508	0.00000000	-8.75369100
86.09999506	0.00000000	-4.07234200
86.29999505	0.00000000	-1.16264800
86.49999504	0.00000000	-1.11343500
86.69999503	0.00000000	-3.61097400
86.89999502	0.00000000	-7.48646600
87.09999501	0.00000000	-12.57997000
87.29999499	0.00000000	-18.07948000
87.49999498	0.00000000	-22.31176000
87.69999497	0.00000000	-24.90772000
87.89999496	0.00000000	-25.31373000
88.09999495	0.00000000	-23.63435000
88.29999493	0.00000000	-20.22022000
88.49999492	0.00000000	-15.53273000
88.69999491	0.00000000	-10.48843000
88.89999490	0.00000000	-6.21309000
89.09999489	0.00000000	-3.66018700
89.29999487	0.00000000	-2.84817900
89.49999486	0.00000000	-4.57677100
89.69999485	0.00000000	-8.75369100
89.89999484	0.00000000	-13.80413000
90.09999483	0.00000000	-18.48548000
90.29999482	0.00000000	-21.89960000
90.49999480	0.00000000	-23.63435000
90.69999479	0.00000000	-23.63435000
90.89999478	0.00000000	-21.89960000
91.09999477	0.00000000	-18.48548000
91.29999476	0.00000000	-13.90256000
91.49999474	0.00000000	-9.72563900
91.69999473	0.00000000	-7.58489100
91.89999472	0.00000000	-7.43725300
92.09999471	0.00000000	-8.29232200
92.29999470	0.00000000	-9.62106200
92.49999468	0.00000000	-12.16781000
92.69999467	0.00000000	-15.07136000
92.89999466	0.00000000	-17.21826000
93.09999465	0.00000000	-18.53469000
93.29999464	0.00000000	-18.94685000
93.49999463	0.00000000	-18.53469000
93.69999461	0.00000000	-17.26747000
93.89999460	0.00000000	-15.58194000
94.09999459	0.00000000	-13.85334000
94.29999458	0.00000000	-12.21703000
94.49999457	0.00000000	-11.35581000
94.69999455	0.00000000	-11.70645000
94.89999454	0.00000000	-12.06939000
95.09999453	0.00000000	-12.16781000
95.29999452	0.00000000	-12.57997000
95.49999451	0.00000000	-13.39198000
95.69999449	0.00000000	-13.85334000
95.89999448	0.00000000	-14.31471000
96.09999447	0.00000000	-15.12057000
96.29999446	0.00000000	-15.53273000
96.49999445	0.00000000	-15.58194000
96.69999444	0.00000000	-15.58194000
96.89999442	0.00000000	-15.53273000
97.09999441	0.00000000	-15.12057000
97.29999440	0.00000000	-14.31471000
97.49999439	0.00000000	-13.85334000
97.69999438	0.00000000	-13.34276000
97.89999436	0.00000000	-12.16781000
98.09999435	0.00000000	-11.35581000
98.29999434	0.00000000	-11.75566000
98.49999433	0.00000000	-12.53076000
98.69999432	0.00000000	-13.44119000
98.89999430	0.00000000	-14.26550000
99.09999429	0.00000000	-15.12057000
99.29999428	0.00000000	-15.58194000
99.49999427	0.00000000	-15.99409000
99.69999426	0.00000000	-16.34473000
